date,ticker,price
2024-01-01,MSFT,150.37542140474358
2024-01-02,MSFT,150.0964910694266
2024-01-03,MSFT,150.5064067942193
2024-01-04,MSFT,150.2970436194133
2024-01-05,MSFT,151.97533506667622
2024-01-06,MSFT,151.78344925519215
2024-01-07,MSFT,152.8514794615701
2024-01-08,MSFT,153.57697036786
2024-01-09,MSFT,155.03506263886362
2024-01-10,MSFT,157.28531065429385
2024-01-11,MSFT,157.58953799396429
2024-01-12,MSFT,158.49186851516114
2024-01-13,MSFT,158.47908054978095
2024-01-14,MSFT,158.76343405059671
2024-01-15,MSFT,159.0498399715744
2024-01-16,MSFT,160.21781875771967
2024-01-17,MSFT,158.84796109205664
2024-01-18,MSFT,160.2632703587149
2024-01-19,MSFT,159.48661877540172
2024-01-20,MSFT,158.2931719566947
